Brand of Car,Model of car,Year of Car,Price sold (or unsold),Country  of auction,Currency,Year of Auction
Porsche,911 Carrera 4 Cabriolet,2009,"$57,200",USA,"$57,200",2021
Porsche,911 Carrera S,2003,"£14,300",UK,"£14,300",2021
Porsche,911 Carrera 2 S,2005,"£30,780",UK,"£30,780",2021
Porsche,911 Carrera 4,2002,"£19,880",UK,"£19,880",2021
Porsche,911 Carrera 4S,2008,"$49,280",USA,"$49,280",2021
Porsche,911 Carrera,2002,"NZ$70,500",Zealand,"NZ$70,500",2020
Porsche,911 Carrera 2,2003,"£11,093",UK,"£11,093",2020
Porsche,911 Carrera 2,2002,"£12,426",UK,"£12,426",2020
Porsche,911 CSR Upgrade from 996 Carrera 4,2001,"Estimate £24,000 - £26,000 (unsold)",UK,Estimate,2020
Porsche,911 Club Sport,2013,"£168,750",UK,"£168,750",2020
Porsche,911 Carrera 4 Cabriolet,2000,"£14,850",UK,"£14,850",2020
Porsche,911 Carrera S,2012,"£37,000",UK,"£37,000",2020
Porsche,911 3.6 Targa,2002,"£17,360",UK,"£17,360",2020
Porsche,911 Carrera 4S,2002,"€53,576",Italy,"€53,576",2020
Porsche,911 Carrera 4S,2003,"Estimate £20,000 - £22,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera 4,2001,"£12,938",UK,"£12,938",2020
Porsche,911 Carrera 2 S,2006,"£19,250",UK,"£19,250",2020
Porsche,911,2005,"£19,081",UK,"£19,081",2020
Porsche,911 X50,2003,"£40,000",UK,"£40,000",2020
Porsche,911 Carrera 4 Targa,2007,"€44,500",France,"€44,500",2020
Porsche,911 Carrera S,2005,"£39,620",UK,"£39,620",2020
Porsche,911 Carerra S,2004,"£17,024",UK,"£17,024",2020
Porsche,911 Carrera 4,2003,"Estimate £13,000 - £15,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera,2002,"Estimate £11,500 - £12,500 (unsold)",UK,Estimate,2020
Porsche,911,2001,"Estimate £30,000 - £35,000 (unsold)",UK,Estimate,2020
Porsche,911 3.4 Carrera 4,2001,"£11,660",UK,"£11,660",2020
Porsche,911 Carrera 2 S,2005,"£17,050",UK,"£17,050",2020
Porsche,911 Carrera 4S,2004,"Estimate £12,000 - £14,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera,2004,"£30,375",UK,"£30,375",2020
Porsche,911 50th Anniversary Edition,2014,"£85,500",UK,"£85,500",2020
Porsche,911 Carrera 2,2003,"£14,625",UK,"£14,625",2020
Porsche,911 Carrera 4S,2006,"Estimate €37,000 - €45,000 (unsold)",France,Estimate,2020
Porsche,911 Carrera 2S,2005,"£17,738",UK,"£17,738",2020
Porsche,911 Carrera 4S Cabriolet,2003,"£21,508",UK,"£21,508",2020
Porsche,911 Carrera 4,2000,"£14,560",UK,"£14,560",2020
Porsche,911 Convertible,2003,"£27,440",UK,"£27,440",2020
Porsche,911 Carrera,2001,"Estimate £13,000 - £16,000 (unsold)",UK,Estimate,2020
Porsche,911 3.4 Carrera 4,2001,"Estimate £12,000 - £14,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera S,2008,"Estimate £29,000 - £32,000 (unsold)",UK,Estimate,2020
Porsche,911 Targa 4S,2015,"$86,000",USA,"$86,000",2020
Porsche,911 Carrera 4,2001,"£10,500",UK,"£10,500",2020
